country_name,prefix,country_proba
Iraq,964,0.00326456317791
Guinea-Bissau,245,2.01633263905E-5
Azerbaijan,994,6.64872762517E-4
Sweden,46,0.00873830311649
Georgia,995,2.3644516075E-4
Malawi,265,1.06503724011E-4
Vatican City,3906698,0.0062787219691
Hungary,36,0.00215937162113
Indonesia,62,0.0175872460239
Uganda,256,4.68237246179E-4
South Africa,27,0.00547287825797
Ireland,353,0.00506995640241
Sri Lanka,94,0.00144796810541
Belgium,32,0.00797433708325
Qatar,974,0.00299261677582
Sudan,249,0.00199685865715
Uzbekistan,998,0.00117740039231
Pakistan,92,0.0062787219691
Togo,228,7.8412935963E-5
Panama,507,0.0010252275957
Costa Rica,506,0.00103057001551
Iran,98,0.00635041379626
Botswana,267,2.68155007381E-4
Maldives,960,6.16963320324E-5
Russia,7,0.0062787219691
Sierra Leone,232,7.04854743052E-5
Afghanistan,93,3.54495405002E-4
Liberia,231,3.8258619305E-5
Burkina Faso,226,2.11284086793E-4
Croatia,385,8.63059303962E-4
Zambia,260,3.98785788612E-4
Ecuador,593,0.00167786449349
Luxembourg,352,0.00103401673797
United States,1,0.334627462726
Lebanon,961,9.29236375192E-4
Tunisia,216,6.94342239549E-4
Austria,43,0.006609262653
Niger,227,1.32181806338E-4
Australia,61,0.023432887316
Paraguay,595,4.95294017489E-4
Cambodia,855,3.61044177676E-4
Algeria,213,0.00299778685951
Rwanda,250,1.53723821712E-4
Montenegro,382,7.22088355352E-5
Ukraine,380,0.0016532204279
Ghana,233,7.36736925806E-4
Thailand,66,0.00746043076448
Germany,49,0.058995652649
Bahrain,973,5.91285237998E-4
Tajikistan,992,1.24771353049E-4
India,91,0.0422992120448
Spain,34,0.0212393931425
Moldova,373,1.2770106714E-4
Argentina,54,0.0108389081197
Senegal,221,2.65914637782E-4
China,86,0.0062787219691
Belarus,375,9.42506256663E-4
Gabon,241,2.44889630777E-4
Greece,30,0.00332781053505
Serbia,381,6.50396528185E-4
Italy,39,0.0311485478786
Vietnam,84,0.00371953054261
Cameroon,237,5.09253243452E-4
Egypt,20,0.0062787219691
Puerto Rico,1787,0.00171870815464
Philippines,63,0.00568226664741
Uruguay,598,0.00100161754685
Madagascar,261,1.78712559546E-4
Equatorial Guinea,240,2.01460927782E-4
Poland,48,0.0083224560517
Central African Republic,236,3.42948884761E-5
Albania,355,2.11801095162E-4
Chile,56,0.0043294280819
El Salvador,503,4.74786018853E-4
Kyrgyzstan,996,0.0062787219691
Guatemala,502,0.00122255245653
Kuwait,965,0.00218815175368
Kenya,254,0.0012942442837
Brazil,55,0.0368961299166
Republic of the Congo,242,0.0062787219691
Syria,963,0.0062787219691
Dominican Republic,1809,0.00132440310522
Mexico,52,0.0170147454234
Myanmar,95,0.00124719652212
Benin,229,1.51483452113E-4
Saudi Arabia,966,0.0121907126685
Vanuatu,678,1.43038982086E-5
Mali,223,2.47130000376E-4
New Zealand,64,0.0034129445798
Venezuela,58,0.00433580451845
Turkmenistan,993,7.30015817009E-4
Peru,51,0.00356856409887
Jersey,44,0.0062787219691
Seychelles,248,2.55057462033E-5
Honduras,504,3.75520412007E-4
Denmark,45,0.00524280953377
Macedonia,389,0.0062787219691
Nicaragua,505,2.36962169119E-4
Bangladesh,880,0.00428858442075
Turkey,90,0.0136783180822
Cyprus,357,3.38640481686E-4
Slovakia,421,0.0062787219691
Faroe Islands,298,0.0062787219691
Nigeria,234,0.00690412975945
Hong Kong,852,0.0062787219691
Iceland,354,3.95856074521E-4
Netherlands,31,0.0131439037648
Slovenia,386,7.49662135031E-4
Oman,968,0.00122927356533
Swaziland,268,6.79004324603E-5
Portugal,351,0.00349445956598
Malaysia,60,0.00534000710714
Norway,47,0.00675488667694
Tanzania,255,8.82188613614E-4
Yemen,967,4.68581918425E-4
Jordan,962,6.98133634255E-4
Armenia,374,1.85088996097E-4
Guinea,224,1.19601269359E-4
Malta,356,1.92327113263E-4
United Kingdom,44,0.043028193845
Zimbabwe,263,2.6350193206E-4
Colombia,57,0.00528106815308
United Arab Emirates,971,0.0070176992645
Bulgaria,359,9.01145587144E-4
France,33,0.0417129245543
Kazakhstan,76,0.00272084270985
San Marino,378,2.67120990643E-5
Ivory Coast,225,0.0062787219691
Romania,40,0.00327076727833
Nepal,977,4.01887838826E-4
Chad,235,1.66132022568E-4
Guernsey,44,0.0062787219691
